amarán hiriere tratare ganare conociere
volverán visitare quedare fumare amare
abrirán hablare vendiere saliere comprare
mandarán explicare cerrare sentare saliere
ensenarán mandare descansare muriere quisiere
terminarán explicare continuare acabare llorare
pensarán apagare explicare mejorare peinare
recordarán preguntare descansare moviere viniere
esperarán cambiare gastare saltare viajare
pulsarán tradujere luchare reparare perdonare
sonreirán cerrare enseñare mirare cortare
quedarán deletreare mejorare saliere vendiere
cabrán recibiere costare dibujare fuere
quejarán lanzare aprendiere necesitare supiere
sacarán luchare llamare entendiere hiriere
deletrearán rompiere reconociere respondiere luchare
preferirán necesitare recibiere apagare recordare
tratarán sintiere pudiere trajere eligiere
odiarán continuare utilizare deseare usare
jugarán visitare tratare vendiere muriere
describirán tuviere quejare enviare firmare
elegirán comparare escribiere aconsejare vendiere
dañarán pagare empezare deseare acabare
explicarán mostrare bebiere tuviere riere
limpiarán usare sintiere pensare tomare
marcharán volare repitiere sonriere fumare
caerán gritare preparare respondiere sentare
moverán riere pusiere odiare tradujere
aceptarán pudiere cortare encendiere preguntare
repararán prometiere terminare empezare rompiere
cortarán explicare rompiere dibujare recibiere
recibirán condujere ocurriere reconociere comparare
costarán gritare llenare mirare escribiere
pondrán gritare trabajare ocurriere cupiere
irán encendiere quemare necesitare trajere
apoyarán viere bebiere eligiere diere
cancelarán tuviere trajere reconociere tradujere
verán odiare costare jugare llegare
ayudarán lavare tocare pusiere pudiere
gastarán organizare cantare repitiere cayere
podrán trabajare cambiare vendiere corriere
venderán contare costare deletreare descansare
oirán llenare dibujare sonriere dañare
empezarán moviere aconsejare prefiriere mirare
contarán fuere reconociere encendiere trabajare
sentarán prometiere mintiere viajare empujare
cambiarán usare tuviere cayere hiriere
quemarán intentare corriere sacare gastare
permitirán intentare lavare escribiere ofreciere
dibujarán enviare empezare prefiriere esperare
aprenderán volviere ofreciere cocinare respondiere
necesitarán usare sonriere encontrare destruyere
llegarán comenzare gastare pudiere prefiriere
ocurrirán hablare mintiere continuare prestare
acabarán organizare deseare fumare deletreare
enviarán fuere condujere encontrare tuviere
esconderán deseare recibiere jugare preocupare
correrán estudiare llegare hiriere gastare
traducirán comiere apagare leyere pensare
descansarán jugare pagare preocupare preparare
reirán hiriere sacare trabajare cayere
reconocerán jugare leyere escondiere respondiere
firmarán llamare ofreciere costare acabare
trabajarán tradujere cambiare esperare bebiere
