deseás desear
tenés tener
olvidás olvidar
corrés correr
tratás tratar
enseñás enseñar
comenzás comenzar
describís describir
nadás nadar
ves ver
cerrás cerrar
viajás viajar
fumás fumar
jugás jugar
decís decir
pensás pensar
aceptás aceptar
tomás tomar
limpiás limpiar
escondés esconder
aprendés aprender
volvés volver
das dar
gritás gritar
traés traer
quedás quedar
decidís decidir
oís oír
necesitás necesitar
mirás mirar
morís morir
comprás comprar
ganás ganar
elegís elegir
firmás firmar
visitás visitar
sos ser
reparás reparar
cancelás cancelar
recibís recibir
permitís permitir
organizás organizar
contás contar
salís salir
aconsejás aconsejar
creés creer
estudiás estudiar
mostrás mostrar
encendés encender
ayudás ayudar
saltás saltar
empujás empujar
odiás odiar
llorás llorar
comparás comparar
vendés vender
quemás quemar
pagás pagar
cambiás cambiar
perdonás perdonar
entendés entender
bailás bailar
marchás marchar
preparás preparar
costás costar
usás usar
tocás tocar
cortás cortar
dañás dañar
mandás mandar
apagás apagar
empezás empezar
esperás esperar
llenás llenar
intentás intentar
lavás lavar
gastás gastar
escuchás escuchar
acabás acabar
terminás terminar
hablás hablar
pulsás pulsar
quejás quejar
trabajás trabajar
llegás llegar
lanzás lanzar
conocés conocer
herís herir
luchás luchar
vivís vivir
peinás peinar
mejorás mejorar
venís venir
dormís dormir
continuás continuar
sentís sentir
despertás despertar
sonreís sonreír
volás volar
abrís abrir
bebés beber
repetís repetir
cantás cantar
destruís destruir
reconocés reconocer
escribís escribir
preocupás preocupar
conducís conducir
traducís traducir
encontrás encontrar
ofrecés ofrecer
mentís mentir
sacás sacar
descansás descansar
tirás tirar
vas ir
perdés perder
cocinás cocinar
movés mover
reís reír
utilizás utilizar
ponés poner
leés leer
sabés saber
preguntás preguntar
recordás recordar
cabés caber
caés caer
deletreás deletrear
apoyás apoyar
dibujás dibujar
llamás llamar
explicás explicar
amás amar
sentás sentar
preferís preferir
hacés hacer
querés querer
podés poder
tosés toser
prometés prometer
respondés responder
enviás enviar
ocurrís ocurrir
prestás prestar
comés comer
rompés romper
